interview_id,segment,jtbd,context,trigger,pain,workaround,importance,satisfaction,coding_confidence,evidence_type
,Operations manager,decision-support,Работа над несколькими параллельными инициативами.,Нужно продолжить задачу после переключения контекста.,Слишком много вариантов приводит к откладыванию решения.,таблица плюсов и минусов.,8,5,0.73,synthetic-fixture
,Researcher,decision-support,Неделя с высокой плотностью встреч и переключений.,"Появилось решение, которое нельзя больше откладывать.",Аргументы за и против остаются в голове и сложно сравниваются.,совет коллеги.,9,4,0.82,synthetic-fixture
,Freelancer,decision-support,Возврат к задаче после нескольких дней перерыва.,Пользователь пытается понять причины слабого прогресса.,"После принятия решения трудно вспомнить, какие критерии были главными.",поиск в интернете.,9,2,0.87,synthetic-fixture
,Team lead,decision-support,Подготовка важного решения с неполной информацией.,Новая информация меняет исходные предположения.,Новая информация постоянно возвращает пользователя к уже рассмотренным вариантам.,заметка со списком критериев.,8,5,0.71,synthetic-fixture
,Knowledge worker,decision-support,Еженедельный обзор прогресса и приоритетов.,Наступает момент планирования следующего рабочего блока.,Советы других людей не учитывают личные ограничения и цели.,откладывание решения.,10,4,0.85,synthetic-fixture
,Product manager,time-feedback,Работа над несколькими параллельными инициативами.,Нужно продолжить задачу после переключения контекста.,Субъективное ощущение продуктивности расходится с фактическим использованием времени.,календарь.,8,5,0.74,synthetic-fixture
,Founder,time-feedback,Неделя с высокой плотностью встреч и переключений.,"Появилось решение, которое нельзя больше откладывать.","Календарь показывает встречи, но не объясняет, куда ушло остальное время.",тайм-трекер.,9,4,0.81,synthetic-fixture
,Software engineer,time-feedback,Возврат к задаче после нескольких дней перерыва.,Пользователь пытается понять причины слабого прогресса.,Трудно заметить повторяющиеся отвлечения без ручного трекинга.,ручной дневник.,8,5,0.70,synthetic-fixture
,Consultant,time-feedback,Подготовка важного решения с неполной информацией.,Новая информация меняет исходные предположения.,"В конце недели сложно оценить, какие активности реально продвигали цели.",еженедельный обзор.,9,3,0.84,synthetic-fixture
,Marketing lead,time-feedback,Еженедельный обзор прогресса и приоритетов.,Наступает момент планирования следующего рабочего блока.,"Тайм-трекеры собирают цифры, но не дают содержательной обратной связи.",Pomodoro.,9,4,0.78,synthetic-fixture
,Operations manager,time-feedback,Работа над несколькими параллельными инициативами.,Нужно продолжить задачу после переключения контекста.,Субъективное ощущение продуктивности расходится с фактическим использованием времени.,календарь.,10,3,0.90,synthetic-fixture
,Researcher,time-feedback,Неделя с высокой плотностью встреч и переключений.,"Появилось решение, которое нельзя больше откладывать.","Календарь показывает встречи, но не объясняет, куда ушло остальное время.",тайм-трекер.,8,6,0.69,synthetic-fixture
,Freelancer,time-feedback,Возврат к задаче после нескольких дней перерыва.,Пользователь пытается понять причины слабого прогресса.,Трудно заметить повторяющиеся отвлечения без ручного трекинга.,ручной дневник.,9,4,0.80,synthetic-fixture
,Team lead,time-feedback,Подготовка важного решения с неполной информацией.,Новая информация меняет исходные предположения.,"В конце недели сложно оценить, какие активности реально продвигали цели.",еженедельный обзор.,9,5,0.77,synthetic-fixture
,Knowledge worker,time-feedback,Еженедельный обзор прогресса и приоритетов.,Наступает момент планирования следующего рабочего блока.,"Тайм-трекеры собирают цифры, но не дают содержательной обратной связи.",Pomodoro.,8,4,0.73,synthetic-fixture
